Код товара,Автор,Название,Обложка,Рейтинг,Стикеры,Наличие,Цена,Издательство\Производитель:,Год издания\производства:,Место издания\производства:,Язык текста:,Тип обложки:,Обрез:,Иллюстраторы:,Формат:,Размеры в мм (ДхШхВ):,Вес:,Страниц:,Тираж:,Код товара:,ISBN:,В продаже с:,Описание,Тиснение:,Футляр:,Бумага:,Артикул:,Иллюстрации:,Возраст:,Язык оригинала:,Перевод:,Редактор/составитель:
940850,Фицджеральд Ф. С.,Великий Гэтсби = The Great Gatsby,https://www.moscowbooks.ru/image/book/613/w259/i613147.jpg,0,,True,264,Эксмо,2018,Москва,русский/английский,Мягкая обложка,,,76х100 1/32,180x115x20,285 гр.,448,2000 экз.,940850,978-5-04-095999-0,11.09.2018,"""Великий Гэтсби"" — самый известный роман Фрэнсиса Фицджеральда, ставший символом ""века джаза"". Америка, 1925 г., время ""сухого закона"" и гангстерских разборок, ярких огней и яркой жизни. Но для Джея Гэтсби воплощение американской мечты обернулось настоящей трагедией. А путь наверх, несмотря на славу и богатство, привел к тотальному крушению. Ведь каждый из нас в первую очередь стремится не к материальным благам, а к любви, истинной и вечной…",,,,ITD000000000914585,,,,,
943320,Достоевский Ф. М.,Идиот. В 2 томах,https://www.moscowbooks.ru/image/book/615/w259/i615426.jpg,0, ,True,26460,,2018,СПб,русский,Твердый переплет+футляр+зол.обрез,,,70х100 1/16,245x176x70,2930 гр.,512,800 экз.,943320,978-5-93898-668-8,27.09.2018,"""Идиот"" — второй роман так называемого ""великого пятикнижия"" Ф. М. Достоевского (1821-1881), занимающий особое место в его творчестве. Роман, созданный за границей и впервые опубликованный в московском журнале ""Русский вестник"" в 1868 году, является одним из важнейших в наследии Достоевского и одним из любимых его произведений. В нем наиболее полно отразились его художественные принципы 1860-х годов и его философская позиция.",,,,,,,,,
944865,"Стругацкий А. Н., Стругацкий Б. Н.",Полное собрание сочинений. В 33 томах. Том 10. 1966,https://www.moscowbooks.ru/image/book/616/w259/i616567.jpg,0,,True,3000,Издательство Сидорович,2018,СПб,русский,Твердый переплет (ткань),,,84х108 1/32,208x132x48,975 гр.,832,350 экз.,944865,978-5-905909-42-9,10.10.2018,"Полное собрание сочинений Аркадия и Бориса Стругацких включает в себя 33 основных тома и некоторое количество дополнительных. Основные тома скомпонованы по хронологически-тематическому принципу и составлены из художественных и публицистических произведений, а также писем, дневников и записных книжек. Каждый том включает в себя эти компоненты творчества Стругацких за определённый год (первый том — за несколько лет). Разделы художественный и публицистический охватывают как опубликованные, канонические тексты, так и архивные, многое публикуется впервые. Письма, дневники, записные книжки Стругацких представлены во всей возможной полноте. Каждый том снабжён справочным аппаратом — примечаниями и комментариями, библиографией за рассматриваемый период, указателями персоналий и заглавий произведений. Некоторые комментарии даны Борисом Стругацким. Большинство томов имеют вклейки с фотографиями Стругацких и их рисунками из писем и рукописей.",,,,978-5-905909-42-9,,,,,
944866,"Стругацкий А. Н., Стругацкий Б. Н.",Полное собрание сочинений. В 33 томах. Том 11. Часть 1. 1967,https://www.moscowbooks.ru/image/book/616/w259/i616566.jpg,0,,True,3000,Издательство Сидорович,2018,СПб,русский,Твердый переплет (ткань),,,84х108 1/32,208x132x23,485 гр.,352,350 экз.,944866,978-5-905909-43-6,10.10.2018,"Полное собрание сочинений Аркадия и Бориса Стругацких включает в себя 33 основных тома и некоторое количество дополнительных. Основные тома скомпонованы по хронологически-тематическому принципу и составлены из художественных и публицистических произведений, а также писем, дневников и записных книжек. Каждый том включает в себя эти компоненты творчества Стругацких за определённый год (первый том — за несколько лет). Разделы художественный и публицистический охватывают как опубликованные, канонические тексты, так и архивные, многое публикуется впервые. Письма, дневники, записные книжки Стругацких представлены во всей возможной полноте. Каждый том снабжён справочным аппаратом — примечаниями и комментариями, библиографией за рассматриваемый период, указателями персоналий и заглавий произведений. Некоторые комментарии даны Борисом Стругацким. Большинство томов имеют вклейки с фотографиями Стругацких и их рисунками из писем и рукописей.",,,,978-5-905909-43-6,,,,,
952785,Достоевский Ф. М.,Бедные люди,https://www.moscowbooks.ru/image/book/624/w259/i624364.jpg,0,,True,144,АСТ,2018,Москва,русский,Мягкая обложка,,,76х100 1/32,180x115x17,215 гр.,352,5000 экз.,952785,978-5-17-111395-7,19.10.2018,"В этот сборник вошли два ранних произведения Достоевского — «Бедные люди» и «Двойник», которые ознаменовали рождение будущего великого романиста.",,,,ASE000000000839527,,,,,
953811,Роулинг Дж. К.,Сказки барда Бидля,https://www.moscowbooks.ru/image/book/624/w259/i624915.jpg,0,Идея подарка,True,1660,Махаон; Азбука-Аттикус,2018,Москва,русский,Твердый переплет,,Цвергер Лизбет,295х255 мм,295x255x24,1275 гр.,160,,953811,978-5-389-14833-8,25.10.2018,"Сказки барда Бидля — пять впечатляющих историй о приключениях, трусости, сердечной боли и, конечно, волшебстве. Для колдовского сообщества они являются тем же, чем сказки братьев Гримм для многочисленных муглов.",,,,А0000016221,,13 +,английский,Спивак М.,
962079,Фрай М.,Полный НяпиZдинг,https://www.moscowbooks.ru/image/book/632/w259/i632573.jpg,0,,True,400,АСТ,2018,Москва,русский,Твердый переплет,,,84х108 1/32,205x133x30,440 гр.,448,3000 экз.,962079,978-5-17-111467-1,17.11.2018,"О содержании этой книги с уверенностью можно сказать одно: Заратустра ничего подобного не говорил. Но наверняка не раз обо всем этом задумывался. Потому что вопросы все больше простые и очевидные. Захватывающие погони ума за ускользающей мыслью, насильственное использование букв кириллического алфавита, жестокая трансформация смыслов, гроб на колесиках сансары, кровавые следы полуночных озарений, ослепительное сияние человеческой глупости — все вот это вот, непостижимое и неопределенное",,,,ASE000000000839612,,,,,
964356,Достоевский Ф. М.,Малое собрание сочинений,https://www.moscowbooks.ru/image/book/634/w259/i634232.jpg,0, ,True,6318,,2018,СПб,русский,Кожаный переплет,Рисованный,,60х90 1/16,215x145x50,900 гр.,800,,964356,,27.11.2018,"О великом русском писателе Ф. М. Достоевском уже полтора века говорят не только литературоведы, но и философы, культурологи и социологи, в его богословских идеях находят что-то близкое для себя православные, католики и протестанты... Достоевский был ницшеанцем до Ницше, экзистенциалистом до Сартра, фрейдистом до Фрейда — спектр философских идей у него необычайно широк! Это тем более удивительно, что за всю жизнь Достоевский не создал ни одного философского или богословского трактата и материал для суждений берется именно из его романов и повестей. Мировую славу писателя определили пять романов: «Преступление и наказание», «Идиот», «Бесы», «Подросток», «Братья Карамазовы». Но не менее интересны и другие романы и повести — первооснова так называемого Великого Пятикнижия Достоевского, его идеологическая подготовка, источник ставших впоследствии устойчивыми мотивов и образов... Такие произведения и представлены в настоящем издании. Вниманию читателей предлагаются «Двойник», «Белые ночи», «Неточка Незванова», «Униженные и оскорбленные» и «Записки из подполья» — произведения, положившие начало мучительным раздумьям Достоевского над «тайной человека» и важнейшими для человечества вопросами. Вариации историй о бедном чиновнике, трагедия нищеты, вырастающая в трагедию оскорбленного достоинства; раздвоенность личности и черты угнетателя, проступающие в угнетенном; дисгармония ума и чувства; идея «хрустального дворца», грядущего рая и страдания тех, кто станет лишь «материалом» для него, — все это на фоне Петербурга, по-достоевски прозаического и одновременно призрачного…",Углубленное тиснение (красочное плоскоуглубленное изображение),,Офсетная,,,,,,
966110,Лукьяненко С. В.,Кайноzой,https://www.moscowbooks.ru/image/book/636/w259/i636078.jpg,1,,True,400,АСТ,2018,Москва,русский,Твердый переплет,,,84х108 1/32,207x132x18,305 гр.,320,45000 экз.,966110,978-5-17-112584-4,05.12.2018,Один мёртвый поезд.,,,,ASE000000000840773,,,,,
966528,Фрай М.,Тяжелый свет Куртейна. Синий,https://www.moscowbooks.ru/image/book/636/w259/i636483.jpg,5,,True,384,АСТ,2019,Москва,русский,Твердый переплет,,,84х108 1/32,205x130x21,330 гр.,352,20000 экз.,966528,978-5-17-112194-5,07.12.2018,"Это первая часть большой трилогии о людях, духах, котах, полицейских, ангелах, морях и трамваях города Вильнюса и его изнанки. Или же просто первый слог заклинания, при помощи которого можно открыть если не сияющие небеса, то как минимум путь в свой личный, вместе с раем утраченный миф. Как скажете, так и будет. Читателю решать.",,,,ASE000000000840372,,,,,
972600,"Стругацкий А. Н., Стругацкий Б. Н.",Полное собрание сочинений. В 33 томах. Том 12. 1967. Часть 2,https://www.moscowbooks.ru/image/book/641/w259/i641659.jpg,0,,True,3000,Издательство Сидорович,2018,СПб,русский,Твердый переплет (ткань),,,84х108 1/32,208x132x23,650 гр.,544,350 экз.,972600,978-5-905909-44-3,18.01.2019,"Полное собрание сочинений Аркадия и Бориса Стругацких включает в себя 33 основных тома и некоторое количество дополнительных. Основные тома скомпонованы по хронологически-тематическому принципу и составлены из художественных и публицистических произведений, а также писем, дневников и записных книжек. Каждый том включает в себя эти компоненты творчества Стругацких за определённый год (первый том — за несколько лет). Разделы художественный и публицистический охватывают как опубликованные, канонические тексты, так и архивные, многое публикуется впервые. Письма, дневники, записные книжки Стругацких представлены во всей возможной полноте. Каждый том снабжён справочным аппаратом — примечаниями и комментариями, библиографией за рассматриваемый период, указателями персоналий и заглавий произведений. Некоторые комментарии даны Борисом Стругацким. Большинство томов имеют вклейки с фотографиями Стругацких и их рисунками из писем и рукописей.",,,,,,,,,
972610,"Стругацкий А. Н., Стругацкий Б. Н.",Полное собрание сочинений. В 33 томах. Том 13. 1968. Часть 1,https://www.moscowbooks.ru/image/book/641/w259/i641661.jpg,0,,True,3000,Издательство Сидорович,2019,СПб,русский,Твердый переплет (ткань),,,84х108 1/32,208x132x34,705 гр.,576,350 экз.,972610,978-5-905909-48-1,18.01.2019,"Полное собрание сочинений Аркадия и Бориса Стругацких включает в себя 33 основных тома и некоторое количество дополнительных. Основные тома скомпонованы по хронологически-тематическому принципу и составлены из художественных и публицистических произведений, а также писем, дневников и записных книжек. Каждый том включает в себя эти компоненты творчества Стругацких за определённый год (первый том — за несколько лет). Разделы художественный и публицистический охватывают как опубликованные, канонические тексты, так и архивные, многое публикуется впервые. Письма, дневники, записные книжки Стругацких представлены во всей возможной полноте. Каждый том снабжён справочным аппаратом — примечаниями и комментариями, библиографией за рассматриваемый период, указателями персоналий и заглавий произведений. Некоторые комментарии даны Борисом Стругацким. Большинство томов имеют вклейки с фотографиями Стругацких и их рисунками из писем и рукописей.",,,,,,,,,
972772,"Стругацкий А. Н., Стругацкий Б. Н.",Собрание сочинений. 1967-1968. Том 5,https://www.moscowbooks.ru/image/book/641/w259/i641698.jpg,0,,True,647,АСТ,2019,Москва,русский,Твердый переплет,,,60х90 1/16,220x145x40,645 гр.,607,2500 экз.,972772,978-5-17-113081-7,19.01.2019,"Аркадий (1925–1991) и Борис (1933–2012) Стругацкие — русские советские писатели-фантасты, поднявшие отечественную фантастику до высот мирового уровня. Переведенные на все основные языки, изданные суммарным тиражом более 500 миллионов экземпляров, их книги до сих пор экранизируются, активно обсуждаются и служат источником вдохновения для нового поколения писателей и читателей.",,,,ASE000000000841315,,,,,
973330,Фицджеральд Ф. С.,"Спаси меня, вальс",https://www.moscowbooks.ru/image/book/641/w259/i641911.jpg,0,,True,144,Эксмо,2019,Москва,русский,Мягкая обложка,,,76х100 1/32,180x115x14,180 гр.,352,3000 экз.,973330,978-5-04-099915-6,22.01.2019,"""Спаси меня, вальс"" — единственный роман знаменитой Зельды Фицджеральд, отличающийся яркой образностью и очевидными автобиографическими аналогиями. Зельда писала о том, что хорошо знала сама, — о двадцатых годах двадцатого века, ""эпохе джаза"" и ""потерянного поколения"", когда люди ее круга сначала стремились преодолеть будничную рутину, а потом скуку нескончаемого веселья. На фоне артистических кругов Нью-Йорка и Парижа иногда абсолютно точно, а иногда с точностью до наоборот отображена жизнь легендарной четы и, словно на авансцене, любит, мучается, набирается мудрости легкомысленная и взбалмошная красавица Алабама Найт. Тяжелое балетное искусство, описанное детально и реалистично, помогает ей обрести мир в душе и найти себя. Пронзительная книга о потерянной жизни, но не выдуманного персонажа, а живой женщины.",,,,ITD000000000945881,,,английский,Володарская Л.,
974491,Роулинг Дж. К.,Фантастические твари. Преступления Грин-де-Вальда. Оригинальный сценарий,https://www.moscowbooks.ru/image/book/642/w259/i642743.jpg,5,,True,590,Махаон; Азбука-Аттикус,2019,Москва,русский,Твердый переплет+суперобложка,,,84х108 1/32,206x130x25,385 гр.,304,35000 экз.,974491,978-5-389-15734-7,29.01.2019,"Перед вами оригинальный сценарий, написанный Дж.К. Роулинг для второго фильма пятисерийной киноэпопеи «Фантастические твари». События разворачиваются в 1927 году, спустя несколько месяцев после окончания истории первого фильма. Действие переносится из Нью-Йорка в Лондон, затем в Париж и, наконец, в Хогвартс — и открывает совершенно новую, захватывающую главу о мире магов и волшебников.",,,,А0000017322,,10 +,английский,,
976267,Глуховский Д. А.,Метро 2035,https://www.moscowbooks.ru/image/book/644/w259/i644239.jpg,0,,True,614,АСТ,2019,Москва,русский,Твердый переплет,,,70х90 1/16,216x168x24,520 гр.,384,5000 экз.,976267,978-5-17-113122-7,08.02.2019,"Третья мировая стерла человечество с лица Земли. Планета опустела. Мегаполисы обращены в прах и пепел. Железные дороги ржавеют. Спутники одиноко болтаются на орбите. Радио молчит на всех частотах. Выжили только те, кто, услышав сирены тревоги, успел добежать до дверей московского метро. Там, на глубине в десятки метров, на станциях и в туннелях, люди пытаются переждать конец света. Там они создали себе новый мирок вместо потерянного огромного мира. Они цепляются за жизнь изо всех сил и отказываются сдаваться. Они мечтают вернуться наверх — однажды, когда радиационный фон от ядерных бомбардировок спадет. И не оставляют надежды найти других выживших… ""Метро 2035"" продолжает — и завершает историю Артема из первой книги культовой трилогии. Эту книгу миллионы читателей ждали долгие десять лет, и права на перевод иностранные издатели выкупили задолго до того, как роман был окончен. При этом ""2035"" — книга независимая, и именно с нее можно начать посвящение в сагу, которая покорила Россию и весь мир.",,,,ASE000000000841358,,,,,
977392,"Стругацкий А. Н., Стругацкий Б. Н.",Собрание сочинений. 1969-1973. Том 6,https://www.moscowbooks.ru/image/book/645/w259/i645242.jpg,0,,True,647,АСТ,2019,Москва,русский,Твердый переплет,,,60х90 1/16,220x145x40,650 гр.,592,2500 экз.,977392,978-5-17-113588-1,15.02.2019,"Аркадий (1925–1991) и Борис (1933–2012) Стругацкие — русские советские писатели-фантасты, поднявшие отечественную фантастику до высот мирового уровня. Переведенные на все основные языки, изданные суммарным тиражом более 500 миллионов экземпляров, их книги до сих пор экранизируются, активно обсуждаются и служат источником вдохновения для нового поколения писателей и читателей. В этот том вошли ""Отель ""У Погибшего Альпиниста"""", ""Малыш"", ""Пикник на обочине"", ""Парень из преисподней"".",,,,ASE000000000841844,,,,,
980091,Достоевский Ф. М.,Братья Карамазовы,https://www.moscowbooks.ru/image/book/647/w259/i647201.jpg,0,Идея подарка,True,487,Азбука; Азбука-Аттикус,2019,СПб,русский,Твердый переплет,,,60х90 1/16,215x145x39,850 гр.,832,3000 экз.,980091,978-5-389-15519-0,04.03.2019,"«Братья Карамазовы» (1879–1880), последний, самый объемный и один из наиболее известных романов Ф. М. Достоевского, обращают читателя к вневременным нравственно-философским вопросам о грехе, воздаянии, сострадании и милосердии. Книга, которую сам писатель определил как «роман о богохульстве и опровержении его», явилась попыткой «решить вопрос о человеке», «разгадать тайну» человека, что, по Достоевскому, означало «решить вопрос о Боге». Сквозь призму почти детективной истории о жестоком убийстве главы провинциальной семьи Карамазовых автор повествует об извечной борьбе Божественного и дьявольского в человеческой душе. Один из самых глубоких в мировой литературе опытов отражения христианского сознания, «Братья Карамазовы» стали в XX веке объектом парадоксальных философских и психоаналитических интерпретаций.",,,,978-5-389-15519-0,,,,,
982409,Фрай М.,"Книга для таких, как я",https://www.moscowbooks.ru/image/book/649/w259/i649059.jpg,0,,True,384,АСТ,2019,Москва,русский,Твердый переплет,,,84х108 1/32,200x130x30,430 гр.,480,7000 экз.,982409,978-5-17-113862-2,21.03.2019,"В этой книге собраны тексты, написанные еще в девяностых годах прошлого века для разных интернет-проектов: рубрика Macht Frei в легендарной Газете.ру; книжка-игрушка ""Идеальный роман"", состоящая из последних абзацев вымышленных книг, жаждущая рассказать простыми словами об очень сложных явлениях. В этой книге Макс Фрай предстает перед нами не столько писателем, сколько страстным читателем, человеком, которому нравилось играть в литературные игры. И вообще играть.",,,,ASE000000000842052,,,,,
982689,Роллинс Дж.,Пекло,https://www.moscowbooks.ru/image/book/649/w259/i649208.jpg,0,,True,529,Эксмо,2019,Москва,русский,Твердый переплет,,,60х90 1/16,215x145x28,510 гр.,464,15000 экз.,982689,978-5-04-101015-7,22.03.2019,"Однажды под Рождество коммандер спецотряда ""Сигма"" Грей Пирс возвратился домой — и с ужасом понял, что в его отсутствие к нему наведывались незваные гости. И что Сейхан, любовь всей жизни Грея, беременная его ребенком, похищена. Ее лучшая подруга Кэт лежала без признаков жизни на окровавленном полу. Врачи на базе ""Сигмы"" установили, что женщина находится в коме, но мозг ее работает. Именно из него, с помощью высочайших технологий, удалось вытащить ниточку, ведущую к нападавшим. Но никто не ожидал, что эта ниточка заведет ""Сигму"" очень, очень далеко — аж во времена Святой инквизиции и охоты на ведьм…",,,,ITD000000000953451,,,английский,Белышева О.,
986027,"Стругацкий А. Н., Стругацкий Б. Н.",Полное собрание сочинений. В 33 томах. Том 14. 1968. Часть 2,https://www.moscowbooks.ru/image/book/652/w259/i652085.jpg,0,,True,3170,Издательство Сидорович,2019,СПб,русский,Твердый переплет (ткань),,,84х108 1/32,208x132x27,555 гр.,448,350 экз.,986027,978-5-905909-51-1,15.04.2019,"Полное собрание сочинений Аркадия и Бориса Стругацких включает в себя 33 основных тома и некоторое количество дополнительных. Основные тома скомпонованы по хронологически-тематическому принципу и составлены из художественных и публицистических произведений, а также писем, дневников и записных книжек. Каждый том включает в себя эти компоненты творчества Стругацких за определённый год (первый том — за несколько лет). Разделы художественный и публицистический охватывают как опубликованные, канонические тексты, так и архивные, многое публикуется впервые. Письма, дневники, записные книжки Стругацких представлены во всей возможной полноте. Каждый том снабжён справочным аппаратом — примечаниями и комментариями, библиографией за рассматриваемый период, указателями персоналий и заглавий произведений. Некоторые комментарии даны Борисом Стругацким. Большинство томов имеют вклейки с фотографиями Стругацких и их рисунками из писем и рукописей.",,,,978-5-905909-51-1,,,,,
986028,"Стругацкий А. Н., Стругацкий Б. Н.",Полное собрание сочинений. В 33 томах. Том 15. 1969,https://www.moscowbooks.ru/image/book/652/w259/i652086.jpg,0,,True,3170,Издательство Сидорович,2019,СПб,русский,Твердый переплет (ткань),,,84х108 1/32,208x132x34,690 гр.,560,350 экз.,986028,978-5-905909-52-8,15.04.2019,"Полное собрание сочинений Аркадия и Бориса Стругацких включает в себя 33 основных тома и некоторое количество дополнительных. Основные тома скомпонованы по хронологически-тематическому принципу и составлены из художественных и публицистических произведений, а также писем, дневников и записных книжек. Каждый том включает в себя эти компоненты творчества Стругацких за определённый год (первый том — за несколько лет). Разделы художественный и публицистический охватывают как опубликованные, канонические тексты, так и архивные, многое публикуется впервые. Письма, дневники, записные книжки Стругацких представлены во всей возможной полноте. Каждый том снабжён справочным аппаратом — примечаниями и комментариями, библиографией за рассматриваемый период, указателями персоналий и заглавий произведений. Некоторые комментарии даны Борисом Стругацким. Большинство томов имеют вклейки с фотографиями Стругацких и их рисунками из писем и рукописей.",,,,978-5-905909-52-8,,,,,
988509,Достоевский Ф. М.,Братья Карамазовы,https://www.moscowbooks.ru/image/book/653/w259/i653792.jpg,0, ,True,6318,,2019,СПб,русский,Кожаный переплет,Рисованный,,60х90 1/16,215x145x45,960 гр.,832,,988509,,30.04.2019,"«Братья Карамазовы» (1879–1880), последний, самый объемный и один из наиболее известных романов Ф. М. Достоевского, обращают читателя к вневременным нравственно-философским вопросам о грехе, воздаянии, сострадании и милосердии. Книга, которую сам писатель определил как «роман о богохульстве и опровержении его», явилась попыткой «решить вопрос о человеке», «разгадать тайну» человека, что, по Достоевскому, означало «решить вопрос о Боге». Сквозь призму почти детективной истории о жестоком убийстве главы провинциальной семьи Карамазовых автор повествует об извечной борьбе Божественного и дьявольского в человеческой душе. Один из самых глубоких в мировой литературе опытов отражения христианского сознания, «Братья Карамазовы» стали в XX веке объектом парадоксальных философских и психоаналитических интерпретаций.",Углубленное тиснение (красочное плоскоуглубленное изображение),,Офсетная,978-5-389-15519-0,,,,,
989763,Достоевский Ф. М.,Малая проза. Книга 2. Скверный анекдот. Крокодил. Вечный муж. Бобок,https://www.moscowbooks.ru/image/book/654/w259/i654875.jpg,0, ,True,4880,,2019,СПб,русский,Твердый переплет,,,70х100 1/16,240x170x40,1510 гр.,536,800 экз.,989763,978-5-93898-696-1,15.05.2019,"Настоящее издание ""малой прозы"" Ф. М. Достоевского (1821—1881) включает произведения 1860—1870-х годов.",,,,,,,,,
990989,Глуховский Д. А.,Метро 2034,https://www.moscowbooks.ru/image/book/655/w259/i655626.jpg,0,,True,614,АСТ,2019,Москва,русский,Твердый переплет,,,70х90 1/16,215x170x23,510 гр.,384,10000 экз.,990989,978-5-17-114426-5,21.05.2019,"2034 год. Мир уничтожен ядерной войной. Жизнь на поверхности Земли больше невозможна. Спаслись только те, кто, услышав сигнал тревоги, успел добежать до дверей московского метро — самого большого в мире бомбоубежища. Два десятилетия спустя станции метро превратились в города-государства, а путь между ними лежит сквозь мрак и опасности туннелей. Цивилизация исчезает. Человек постепенно забывает о том, что делало его человеком. Станция Севастопольская — маленькая подземная Спарта, противостоящая в одиночку ордам нечисти — оказывается отрезана от большого метро и будет неминуемо уничтожена. Чтобы спасти ее, нужен настоящий герой… Или героиня?",,,,ASE000000000842697,,,,,
991338,"Стругацкий А. Н., Стругацкий Б. Н.",Собрание сочинений. 1973—1978. Том 7,https://www.moscowbooks.ru/image/book/655/w259/i655814.jpg,0,,True,647,АСТ,2019,Москва,русский,Твердый переплет,,,60х90 1/16,218x145x38,605 гр.,560,2800 экз.,991338,978-5-17-115636-7,23.05.2019,"Аркадий (1925—1991) и Борис (1933—2012) Стругацкие — русские советские писатели-фантасты, поднявшие отечественную фантастику до высот мирового уровня. Переведенные на все основные языки, изданные суммарным тиражом более 500 миллионов экземпляров, их книги до сих пор экранизируются, активно обсуждаются и служат источником вдохновения для нового поколения писателей и читателей. В этот том вошли ""За миллиард лет до конца света""; ""Град обреченный""; ""Повесть о дружбе и недружбе"".",,,,ASE000000000843991,,,,,
991340,Фрай М.,Тяжелый свет Куртейна. Желтый,https://www.moscowbooks.ru/image/book/655/w259/i655760.jpg,0,,True,400,АСТ,2019,Москва,русский,Твердый переплет,,,84х108 1/32,200x130x30,460 гр.,480,18000 экз.,991340,978-5-17-116497-3,23.05.2019,"Это вторая часть большой трилогии о людях, духах, котах, полицейских, ангелах, морях и трамваях города Вильнюса и его изнанки. Или же просто второй слог заклинания, при помощи которого можно открыть если не сияющие небеса, то как минимум путь в свой личный, вместе с раем утраченный миф.",,,,ASE000000000842721,,,,,
991695,"Стругацкий А. Н., Стругацкий Б. Н.",Волны гасят ветер,https://www.moscowbooks.ru/image/book/656/w259/i656112.jpg,0,,True,176,АСТ,2019,Москва,русский,Мягкая обложка,,,76х100 1/32,180x115x14,175 гр.,256,5000 экз.,991695,978-5-17-115019-8,25.05.2019,"Последняя повесть из трилогии о Максиме Каммерере. Историк и социолог Айзек Бромберг направил Каммереру пространный меморандум ""Рабочая модель прогрессорской деятельности Странников в системе человечества Земли"". Резюме меморандума гласило: ""…человечество будет разделено на две неравные части по неизвестному нам параметру, причем меньшая часть форсированно и навсегда обгонит большую, и это свершится волею и искусством сверхцивилизации, решительно человечеству чуждой"".",,,,ASE000000000843324,,,,,
992244,Глуховский Д. А.,Метро 2033. Метро 2034. Метро 2035,https://www.moscowbooks.ru/image/book/656/w259/i656545.jpg,0,Идея подарка,True,1455,АСТ,2019,Москва,русский,Твердый переплет,,,84х108 1/16,260x205x45,1305 гр.,848,5000 экз.,992244,978-5-17-115905-4,29.05.2019,"""Метро"" Дмитрия Глуховского переведено на 37 языков мира и издано двухмиллионным тиражом.",,,,ASE000000000844286,,,,,
993215,Фицджеральд Ф. С.,Загадочная история Бенджамина Баттона. The Curious Case of Benjamin Button,https://www.moscowbooks.ru/image/book/657/w259/i657327.jpg,0,,True,264,Эксмо,2019,Москва,русский/английский,Мягкая обложка,,,76х100 1/32,180x115x15,200 гр.,320,4000 экз.,993215,978-5-04-103329-3,06.06.2019,"Фрэнсису Скотту Фицджеральду принадлежит, пожалуй, одна из ведущих сольных партий в оркестровой партитуре ""века джаза"". Писатель, ярче и беспристрастней которого вряд ли кто отразил безумную жизнь Америки 20-х годов, и сам был плотью от плоти той легендарной эпохи, его имя не сходило с уст современников и из сводок светских хроник. Его скандальная манера поведения повергала в ужас одних и вызывала восторг у других. Но эксцентричность и внешняя позолота канули в прошлое, и в настоящем остались его бессмертные книги. В сборнике несколько лучших рассказов и ""Загадочная история Бенджамина Баттона"", по которой Дэвид Финчер в 2009 году снял одноименный нашумевший фильм с Брэдом Питтом в главной роли. ""Страх старения присущ всем людям. Многие втайне мечтают о вечной молодости. Но юность, проведенная в теле старика, — безрадостна"".",,,,ITD000000000967642,,,английский,,
993665,Лукьяненко С. В.,Застава,https://www.moscowbooks.ru/image/book/658/w259/i658050.jpg,0,,True,987,Белый Единорог,2019,,русский,Мягкая обложка,,,,280x185x12,670 гр.,,,993665,978-5-4375-0057-6,11.06.2019,"Центрум. Центральный мир вселенной, окруженный лепестками других миров, среди которых и наша Земля. Когда-то Центрум был велик и силён, но катастрофа отбросила его в прошлое. Здесь, на перекрестке тысячи цивилизаций, несет свою вахту Корпус пограничной стражи, охраняющий границы между мирами... Выбор у землянина, оказавшегося в Центруме, невелик: стать контрабандистом или пограничником. Но рано или поздно приходится решать — что для тебя пограничная служба. Земле грозит беда, когда-то пришедшая в Центрум.",,,,56290,,,,,
